"","x","y","depJan","depFeb","depMar","depApr","depMay","depJun","depJul","depAug","depSep","depOct","depNov","depDec"
"13446",-45,-86.2105263157895,4.61617750688701e-13,7.04214213797984e-13,5.75140309123055e-13,1.38341891691347e-12,2.14067698084648e-12,6.45314585611783e-12,1.19354157294776e-11,4.72764299022242e-11,1.19009679583039e-11,1.06728846189364e-11,1.44222612215842e-12,3.94446848154842e-13
"13447",-42.5,-86.2105263157895,4.3361178419293e-13,6.82396839421443e-13,4.59383291008734e-13,1.36490345431285e-12,2.87228403369439e-12,6.63815640181972e-12,1.13926903799527e-11,4.34280495476024e-11,1.20127674134955e-11,8.29806041995019e-12,1.37764727146857e-12,3.84686944107329e-13
"13448",-40,-86.2105263157895,4.10667102931311e-13,6.30081538206219e-13,6.18952120849339e-13,8.68033448350466e-13,2.01053916176164e-12,6.97163083793401e-12,1.09621292603582e-11,4.78894847361728e-11,1.18895387309884e-11,7.90165090645931e-12,1.37525365165084e-12,4.19568742904085e-13
"13449",-37.5,-86.2105263157895,4.2356704281759e-13,6.24482131617188e-13,6.66280857047759e-13,7.66148161758387e-13,1.74833673539519e-12,6.73614187196028e-12,1.0268977212148e-11,4.18638543021052e-11,1.1603748586387e-11,7.55745335087013e-12,1.41666659063163e-12,4.57338865817462e-13
"13450",-35,-86.2105263157895,3.98472985012066e-13,5.59921612573199e-13,7.49341651656323e-13,9.41292208286813e-13,1.75136570933271e-12,6.21008524145277e-12,9.45412819228507e-12,4.07585250950361e-11,1.09323080678457e-11,7.94038563843396e-12,1.48645949027116e-12,4.79365428215218e-13
"13451",-32.5,-86.2105263157895,3.86428307527519e-13,5.45803529459183e-13,8.02302169631205e-13,1.01141214734728e-12,1.85370203302827e-12,5.7844417198643e-12,9.09399089540875e-12,4.01341130739242e-11,1.04505435524798e-11,6.82749907635451e-12,1.49000160735603e-12,5.04828620332177e-13
"13452",-30,-86.2105263157895,3.9294025844483e-13,5.33476480306779e-13,7.87319247349196e-13,9.74189186542003e-13,1.52524882410716e-12,5.55886627927446e-12,8.38476817579365e-12,4.18541117291459e-11,9.9992851828191e-12,6.34732287481963e-12,1.44524366115115e-12,5.64815089992588e-13
"13453",-27.5,-86.2105263157895,3.73144939648819e-13,5.60417603303376e-13,7.30606638115773e-13,7.84710364695829e-13,1.40085434897887e-12,5.7227095986794e-12,8.01745773805186e-12,4.20686999030363e-11,9.86022481925305e-12,6.23630213936806e-12,1.44374353933178e-12,6.24870419461143e-13
"13454",-25,-86.2105263157895,3.61865438641597e-13,5.38058069607076e-13,7.54431202644622e-13,7.71105782071196e-13,1.26716426429566e-12,5.24322749829314e-12,7.40797117862436e-12,4.32234006277218e-11,1.04136624250553e-11,6.07734440012377e-12,1.63362908787038e-12,6.49378507814691e-13
"13455",-22.5,-86.2105263157895,4.43571871242637e-13,5.07549243836644e-13,7.01987115363725e-13,7.16256497090967e-13,1.71740735379598e-12,5.66860801615149e-12,6.83612502695529e-12,4.40864325026904e-11,1.20440374135126e-11,7.2972305993201e-12,1.44262877515177e-12,6.5253455257616e-13
"13456",-20,-86.2105263157895,4.60902030347584e-13,5.1853143627938e-13,6.61665784799754e-13,7.92804161553538e-13,1.35033290472726e-12,4.90201103281018e-12,6.63280484765897e-12,4.4786946368355e-11,1.17963793792956e-11,6.06482999654785e-12,1.42191823196229e-12,6.85350985939e-13
"13457",-17.5,-86.2105263157895,4.10664208460911e-13,4.84273663860223e-13,6.49054112724738e-13,8.03890269057034e-13,1.07619489739638e-12,5.61736288283161e-12,6.25387650601264e-12,4.64028367122495e-11,1.28268428593436e-11,5.17083457808246e-12,1.70661705402047e-12,6.8320500414433e-13
"13458",-15,-86.2105263157895,4.01497599376879e-13,4.58930252789918e-13,5.97844391999496e-13,6.79451840859715e-13,1.3908439124379e-12,5.01728728296457e-12,5.92454437864777e-12,4.68794131931651e-11,1.31720558380299e-11,4.95660546145845e-12,1.62092157666436e-12,6.88946847264376e-13
"13459",-12.5,-86.2105263157895,3.96317033374909e-13,4.23415637001758e-13,5.64016716441176e-13,6.83206647917643e-13,1.25544573287699e-12,5.06215400408174e-12,5.45460588318152e-12,4.4700996749351e-11,8.87516378748551e-12,5.57519766742059e-12,1.65114370692844e-12,6.48550689280449e-13
"13460",-10,-86.2105263157895,3.84196170570712e-13,3.84253952776094e-13,5.51280617873186e-13,7.53572009480619e-13,1.1160496107446e-12,4.83537960953089e-12,5.28300166674901e-12,4.2361617448724e-11,1.00641396156783e-11,5.64250775467304e-12,1.50398482958995e-12,6.06541632334185e-13
"13461",-7.5,-86.2105263157895,3.50193790496554e-13,3.95924886237088e-13,5.2814472289419e-13,6.52651617823427e-13,8.83189967388037e-13,4.62890167023138e-12,4.8530168683718e-12,4.09982975913274e-11,1.02093714189464e-11,5.88398291424325e-12,1.5637600029112e-12,5.5110305462115e-13
"13462",-5,-86.2105263157895,3.31575842203271e-13,3.34379797867879e-13,4.93447812860975e-13,6.1015721893932e-13,7.75705417143737e-13,4.24406203387693e-12,4.51134872256971e-12,4.20348982062431e-11,8.13496437418714e-12,4.78197613038229e-12,1.51111966339038e-12,4.70721396107995e-13
"13463",-2.5,-86.2105263157895,3.19032779796982e-13,3.21655634523512e-13,5.33270829971608e-13,5.88134837443252e-13,7.87144935909585e-13,4.59589927607893e-12,4.34677842654988e-12,3.78557986654537e-11,9.40659770077955e-12,4.03443948476074e-12,1.2807428324209e-12,4.65779320173257e-13
"13464",0,-86.2105263157895,2.93092143000924e-13,3.17032343408941e-13,4.97364888932284e-13,5.83459124253669e-13,8.21104434940789e-13,4.04513744735709e-12,4.1842435507023e-12,3.49270806063683e-11,7.24025141293631e-12,4.09352899020514e-12,1.26429838125818e-12,4.66618788057502e-13
"13465",2.5,-86.2105263157895,3.00210824941842e-13,2.72409007944738e-13,4.06165701181338e-13,5.18519786929377e-13,7.12370616978407e-13,3.80658791841086e-12,3.60479887822165e-12,3.09085848651254e-11,7.356643713702e-12,4.30133681358349e-12,1.14874769242888e-12,4.14982222283847e-13
"13466",5,-86.2105263157895,2.72698580054391e-13,2.50312728117978e-13,3.76173449041701e-13,5.03819808062464e-13,6.08055047276868e-13,3.74697583598965e-12,3.52466135577971e-12,2.95144569794812e-11,6.07826834366263e-12,3.07617596023011e-12,1.05811968017009e-12,3.57331911843611e-13
"13467",7.5,-86.2105263157895,2.50560902154078e-13,2.56066774468164e-13,4.04674834520409e-13,4.39130360015992e-13,6.81671363643053e-13,3.13822111302857e-12,3.50122543643684e-12,3.03968207721083e-11,5.29540172087705e-12,2.99881198364649e-12,1.02743193324793e-12,3.52821898150845e-13
"13468",10,-86.2105263157895,2.40885616697996e-13,2.2248938126389e-13,5.54025183293302e-13,5.02729664747947e-13,7.86161316252608e-13,3.08332108548085e-12,3.82210256562551e-12,3.19738551736134e-11,4.33305763629884e-12,3.79623471939987e-12,9.58861572143043e-13,3.26007024091547e-13
"13469",12.5,-86.2105263157895,2.24029275250598e-13,2.11184741245236e-13,3.63419411904075e-13,4.25277460418448e-13,6.82704225031023e-13,2.84274414082372e-12,3.30317676668776e-12,2.75009827532661e-11,5.19743797713158e-12,3.22901000066685e-12,9.47275185805075e-13,2.88722671926442e-13
"13470",15,-86.2105263157895,2.12776324755805e-13,2.20477331260048e-13,3.45999059672113e-13,4.67960250017936e-13,7.19386670289853e-13,2.60451164572174e-12,2.74153687498916e-12,2.61303856970065e-11,4.7188915411026e-12,2.6233338507163e-12,9.99457770192353e-13,2.93487416881461e-13
"13471",17.5,-86.2105263157895,2.05932867642252e-13,2.01562485345607e-13,4.22160866216497e-13,4.67476373182394e-13,5.84362949436547e-13,3.16837106020368e-12,3.0900556962137e-12,2.49790971598458e-11,4.19983281093169e-12,2.64501993763299e-12,9.40203315669382e-13,2.69465706757627e-13
"13472",20,-86.2105263157895,1.95019999552293e-13,1.87229711143197e-13,4.09331537114283e-13,4.72294165560967e-13,6.42718653033389e-13,2.64701647899296e-12,3.32302983195495e-12,2.816152462593e-11,5.60832470247123e-12,2.90757541791977e-12,9.27842283290437e-13,2.56614669127417e-13
"13473",22.5,-86.2105263157895,1.84426202156119e-13,2.20284831111384e-13,3.60077049010967e-13,4.34687919700082e-13,7.1142980689598e-13,2.70080360053921e-12,3.20187630605318e-12,3.13467765233769e-11,4.93264124766638e-12,2.67194322926256e-12,9.57445711573082e-13,2.6389074236308e-13
